,Unnamed: 0,date,city,duration,summary,posted,state_idaho,state_utah,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown,changing,light,other
32987,32987,7/8/16 23:00,Blackfoot,15 minutes,Dancing like object in sky.,7/15/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32988,32988,7/8/16 22:00,Middleton,1 minute,Something hovering with strobing lights.,7/15/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32989,32989,7/4/16 23:00,Middleton,5 seconds,Saw a small blue disk zoom above our head emitting a glowing hazy light and an airplane with green lights soon followed the blue saucer,7/8/16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32990,32990,7/4/16 23:00,Post Falls,5 minutes,"Three orb shaped objects fly pattern across sky, start packed together and gradually separate equally.",7/8/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32991,32991,7/3/16 05:30,Atlanta,5 seconds,My friend and I were sitting outside of our campsite watching the sunrise over the mountains and suddenly a bright flash appeared in th,7/8/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32992,32992,7/1/16 23:55,Boise,5 minutes?,"Saw three lights. The first started out low on the north horizon, moving from North to South.  Second started in the same spot but seem",8/2/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32993,32993,7/1/16,Sandpoint,1 minute,"A line of large orange dots shape into a perfect triangle, stop, then disappear.",7/8/16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32994,32994,6/24/16 00:00,Kuna,20 minutes,"10-15 yellow orbs floating upward, then east to west, before they descended and disappeared.",6/24/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32995,32995,6/23/16 23:00,Bruneau,2 hours,"Dancing Orbs and military triangular craft Near Mountain Home, ID",7/8/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32996,32996,6/21/16 23:00,Star,20 minutes,"Strange, nondescript propeller planes flying in a circular pattern over Lanktree and Can-Ada road.",6/24/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32997,32997,6/19/16 01:17,Idaho City (10.6 miles NW),20 minutes,"20 minute large triangle, no lights no noise only pulsing/pressure then segmented.",6/24/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32998,32998,6/17/16 02:00,Kuna,05:00,"Flashing Chevron shuttle spotted in Kuna, Id.  I was able to capture a video as well.",6/24/16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32999,32999,6/16/16 13:00,Boise,6-7 minutes,White Sphere materializes out of vapor trail.,7/22/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33000,33000,6/4/16 20:00,Boise,20 minutes,Three black objects spotted rising south into the evening sky.,6/10/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
