station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,pm1i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_ti0e,feel,metar
BOI,9/1/2020 6:53,-116.2406,43.5667,59,39,47.35,280,3,0,30.09,1017.1,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010653Z 28003KT 10S0 CLR 15/04 A3009 R0K AO2 SLP171 T01500039 402440122
BOI,9/1/2020 6:55,-116.2406,43.5667,0,0,0,280,2,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010655Z AUTO 28002KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:00,-116.2406,43.5667,0,0,0,240,2,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010700Z AUTO 24002KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:05,-116.2406,43.5667,0,0,0,260,4,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010705Z AUTO 26004KT 10S0 CLR 13/04 A3009 R0K T01300040 0ADISHF
BOI,9/1/2020 7:10,-116.2406,43.5667,0,0,0,280,4,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010710Z AUTO 28004KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:15,-116.2406,43.5667,0,0,0,290,4,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010715Z AUTO 29004KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:20,-116.2406,43.5667,0,0,0,280,5,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010720Z AUTO 28005KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:25,-116.2406,43.5667,0,0,0,230,4,0,30.09,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010725Z AUTO 23004KT 10S0 CLR 14/04 A3009 R0K T01400040 0ADISHF
BOI,9/1/2020 7:30,-116.2406,43.5667,0,0,0,200,2,0,30.1,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010730Z AUTO 20002KT 10S0 CLR 13/04 A3010 R0K T01300040 0ADISHF
BOI,9/1/2020 7:35,-116.2406,43.5667,0,0,0,0,0,0,30.1,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010735Z AUTO 00000KT 10S0 CLR 12/04 A3010 R0K T01200040 0ADISHF
